Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
DET,2024,1,5,-4,140.0,3.665254442449622,0.5199513210500093,-1.3347455575503782,1.5134712026627883,-0.8819101118026152
WAW,2024,2,2,0,140.0,3.8629399946569833,0.5199513210500093,1.8629399946569833,1.7253755768373331,1.0797301292926669
CHA,2024,3,6,-3,133.0,4.132552240371677,0.5013948362658849,-1.8674477596283232,1.9226493090826764,-0.9712888100843047
POR,2024,4,7,-3,132.0,4.360306956202227,0.49868511487677214,-2.639693043797773,2.1300819288002355,-1.2392448422322304
SAS,2024,5,4,1,105.0,4.959026280912419,0.41975292897528843,0.9590262809124193,2.2949978993187017,0.41787675762017823
SAS,2024,6,8,-2,90.0,5.529016560532388,0.37091054684124125,-2.470983439467612,2.485074335561715,-0.9943297888950602
VAN/MEM,2024,7,9,-2,75.0,6.216236409117544,0.31837516020969453,-2.7837635908824563,2.6558647330280682,-1.0481571430441659
UTA,2024,8,10,-2,60.0,7.041194574955925,0.2620950578443899,-2.9588054250440754,2.782716747145832,-1.0632794114165063
HOU,2024,9,3,6,45.0,8.025678966137123,0.2020619498515806,5.025678966137123,2.823558246244341,1.7799097903582677
ATL,2024,10,1,9,30.0,9.192413706438426,0.13831090063897486,8.192413706438426,2.7010577688124666,3.0330390564139105
CHI,2024,11,11,0,20.0,10.348773017033842,0.09378091256541114,-0.6512269829661577,2.530227087442871,-0.25737886776965485
SEA/OKC,2024,12,12,0,15.0,11.40447109023423,0.07091857161674844,-0.5955289097657701,2.4534458939363106,-0.24273162544061774
SAC,2024,13,13,0,8.0,12.636697429618591,0.038253728795901734,-0.3633025703814088,2.0121101212102075,-0.18055799558470295
POR,2024,14,14,0,7.0,13.6194223446085,0.03352541027506745,-0.3805776553914999,2.0535492413892973,-0.18532677362731556
DET,2023,1,5,-4,140.0,3.665287726037029,0.5199247873870871,-1.334712273962971,1.5134850996908522,-0.8818800226283049
HOU,2023,2,4,-2,140.0,3.863003128764883,0.5199247873870871,-0.13699687123511683,1.7254122750180658,-0.07939949959709335
SAS,2023,3,1,2,140.0,4.06071853149271,0.5199247873870871,3.06071853149271,1.929054482821366,1.5866418282889618
CHA,2023,4,2,2,125.0,4.434619523345986,0.47927358263156117,2.4346195233459857,2.114518488674573,1.1513824714164873
POR,2023,5,3,2,105.0,4.959777881104466,0.4197310776575197,1.9597778811044657,2.2955692692340097,0.8537219535781677
ORL,2023,6,6,0,90.0,5.529816359957737,0.37089121052960583,-0.4701836400422632,2.4856865478130263,-0.18915644873081178
IND,2023,7,7,0,68.0,6.37327031300085,0.2925634693134602,-0.6267296869991501,2.6016856485446787,-0.24089370187736855
WAW,2023,8,8,0,67.0,6.88018318044589,0.2888116863006235,-1.11981681955411,2.8719311641319765,-0.3899177088711901
UTA,2023,9,9,0,45.0,8.025734970462713,0.20205161159242685,-0.9742650295372872,2.823528373932262,-0.34505232479050707
DAL,2023,10,10,0,30.0,9.192458400515696,0.13830391903176986,-0.8075415994843045,2.7010210765378595,-0.2989764154374548
ORL,2023,11,11,0,18.0,10.43468276568334,0.08467911983162038,-0.5653172343166606,2.4216546748022547,-0.23344254661859365
SEA/OKC,2023,12,12,0,17.0,11.317665898775479,0.0801068464246597,-0.6823341012245212,2.593927797572232,-0.26305053743714335
TOR,2023,13,13,0,10.0,12.529730936989393,0.04766179470754246,-0.47026906301060656,2.229940969289159,-0.2108885703644948
CHA/NOP,2023,14,14,0,5.0,13.72736668147963,0.02402159768747483,-0.27263331852037,1.7463490996943047,-0.1561161617503018
HOU,2022,1,3,-2,140.0,3.6661906817370515,0.5193896214877216,0.6661906817370515,1.5136782925467163,0.4401137844265485
ORL,2022,2,1,1,140.0,3.864516224643588,0.5193896214877216,2.864516224643588,1.7260566067255885,1.6595725849789547
DET,2022,3,5,-2,140.0,4.062841767550109,0.5193896214877216,-0.9371582324498906,1.9301722238537087,-0.485530887279476
SEA/OKC,2022,4,2,2,115.0,4.561669139951863,0.4497944104495967,2.5616691399518627,2.10104906033948,1.2192333764628789
IND,2022,5,6,-1,115.0,4.833291388329727,0.4497944104495967,-1.1667086116702734,2.3317431644837843,-0.5003589715373162
